<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.GOLD,D,20081028,000000,745.90002,757.00000,730.50000,751.00000
SPFB.GOLD,D,20081029,000000,749.00000,776.00000,739.20001,760.59998
SPFB.GOLD,D,20081030,000000,764.40002,780.59998,735.59998,740.09998
SPFB.GOLD,D,20081031,000000,737.79999,743.50000,719.00000,723.29999
SPFB.GOLD,D,20081101,000000,725.90002,731.59998,724.00000,724.00000
SPFB.GOLD,D,20081105,000000,750.29999,766.00000,724.00000,742.50000
SPFB.GOLD,D,20081106,000000,740.09998,763.00000,717.00000,734.09998
SPFB.GOLD,D,20081107,000000,738.70001,746.70001,733.29999,737.70001
SPFB.GOLD,D,20081110,000000,740.90002,770.20001,740.90002,747.90002
SPFB.GOLD,D,20081111,000000,748.00000,748.00000,727.59998,734.90002
SPFB.GOLD,D,20081112,000000,739.90002,740.20001,710.59998,711.29999
SPFB.GOLD,D,20081113,000000,712.40002,735.00000,701.00000,730.00000
SPFB.GOLD,D,20081114,000000,731.09998,755.90002,726.90002,749.09998
SPFB.GOLD,D,20081117,000000,746.09998,750.09998,732.20001,740.59998
SPFB.GOLD,D,20081118,000000,737.29999,747.00000,732.09998,738.00000
SPFB.GOLD,D,20081119,000000,739.70001,764.59998,734.09998,738.00000
SPFB.GOLD,D,20081120,000000,743.00000,754.00000,737.70001,751.00000
SPFB.GOLD,D,20081121,000000,753.40002,798.00000,753.40002,797.90002
SPFB.GOLD,D,20081124,000000,794.09998,832.00000,789.90002,829.90002
SPFB.GOLD,D,20081125,000000,828.00000,832.09998,804.59998,823.00000
SPFB.GOLD,D,20081126,000000,815.50000,823.00000,809.00000,819.00000
SPFB.GOLD,D,20081127,000000,815.50000,817.29999,811.00000,817.29999
SPFB.GOLD,D,20081128,000000,814.20001,821.00000,809.09998,819.20001
SPFB.GOLD,D,20081201,000000,819.09998,819.09998,769.40002,772.70001
SPFB.GOLD,D,20081202,000000,768.00000,785.50000,761.20001,780.20001
SPFB.GOLD,D,20081203,000000,780.20001,782.79999,764.20001,771.29999
SPFB.GOLD,D,20081204,000000,767.00000,788.09998,762.70001,766.40002
SPFB.GOLD,D,20081205,000000,766.40002,772.79999,742.20001,759.50000
SPFB.GOLD,D,20081208,000000,764.09998,781.00000,764.09998,774.00000
SPFB.GOLD,D,20081209,000000,771.29999,780.00000,762.50000,773.20001
SPFB.GOLD,D,20081210,000000,787.29999,818.40002,784.29999,814.00000
SPFB.GOLD,D,20081211,000000,817.79999,839.40002,817.09998,827.00000
SPFB.GOLD,D,20081212,000000,825.00000,832.70001,814.00000,821.70001
SPFB.GOLD,D,20081215,000000,825.50000,847.00000,825.00000,840.50000
SPFB.GOLD,D,20081216,000000,840.40002,863.59998,834.20001,859.50000
SPFB.GOLD,D,20081217,000000,860.00000,887.20001,851.00000,874.00000
SPFB.GOLD,D,20081218,000000,872.00000,882.00000,852.79999,860.00000
SPFB.GOLD,D,20081219,000000,858.29999,858.29999,834.40002,844.79999
