<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.RTS,D,20070906,000000,190500.00000,193170.00000,190250.00000,192800.00000
SPFB.RTS,D,20070907,000000,192390.00000,192640.00000,188530.00000,189595.00000
SPFB.RTS,D,20070910,000000,188645.00000,191000.00000,188410.00000,190255.00000
SPFB.RTS,D,20070911,000000,191000.00000,192150.00000,190125.00000,192100.00000
SPFB.RTS,D,20070912,000000,192550.00000,192910.00000,190505.00000,191650.00000
SPFB.RTS,D,20070913,000000,191875.00000,194245.00000,191410.00000,194100.00000
SPFB.RTS,D,20070914,000000,197000.00000,197470.00000,194500.00000,195095.00000
SPFB.RTS,D,20070917,000000,195000.00000,195095.00000,193165.00000,194305.00000
SPFB.RTS,D,20070918,000000,194205.00000,198450.00000,193605.00000,198120.00000
SPFB.RTS,D,20070919,000000,201600.00000,206350.00000,201020.00000,206225.00000
SPFB.RTS,D,20070920,000000,206000.00000,206180.00000,202850.00000,204655.00000
SPFB.RTS,D,20070921,000000,204100.00000,206880.00000,203900.00000,205895.00000
SPFB.RTS,D,20070924,000000,205900.00000,208495.00000,204500.00000,206700.00000
SPFB.RTS,D,20070925,000000,206450.00000,206920.00000,203075.00000,203190.00000
SPFB.RTS,D,20070926,000000,204200.00000,207895.00000,204200.00000,207800.00000
SPFB.RTS,D,20070927,000000,208500.00000,210435.00000,208200.00000,210145.00000
SPFB.RTS,D,20070928,000000,210485.00000,210890.00000,208950.00000,210400.00000
SPFB.RTS,D,20071001,000000,209865.00000,209865.00000,206150.00000,207900.00000
SPFB.RTS,D,20071002,000000,210400.00000,213500.00000,210400.00000,213035.00000
SPFB.RTS,D,20071003,000000,212940.00000,214950.00000,209785.00000,210765.00000
SPFB.RTS,D,20071004,000000,209900.00000,212270.00000,209700.00000,210165.00000
SPFB.RTS,D,20071005,000000,211500.00000,214750.00000,211500.00000,214265.00000
SPFB.RTS,D,20071008,000000,215600.00000,215600.00000,213030.00000,213940.00000
SPFB.RTS,D,20071009,000000,212900.00000,215665.00000,212010.00000,215630.00000
SPFB.RTS,D,20071010,000000,216010.00000,216880.00000,214840.00000,215080.00000
SPFB.RTS,D,20071011,000000,215950.00000,219785.00000,215850.00000,219150.00000
SPFB.RTS,D,20071012,000000,218200.00000,218330.00000,216110.00000,217500.00000
SPFB.RTS,D,20071015,000000,218400.00000,220145.00000,217400.00000,219045.00000
SPFB.RTS,D,20071016,000000,218250.00000,218795.00000,216530.00000,216730.00000
SPFB.RTS,D,20071017,000000,215645.00000,218190.00000,215500.00000,217585.00000
SPFB.RTS,D,20071018,000000,217995.00000,218595.00000,213755.00000,214605.00000
SPFB.RTS,D,20071019,000000,213700.00000,216400.00000,213700.00000,214820.00000
SPFB.RTS,D,20071022,000000,211200.00000,212600.00000,209120.00000,212420.00000
SPFB.RTS,D,20071023,000000,213890.00000,214575.00000,212530.00000,213780.00000
SPFB.RTS,D,20071024,000000,214000.00000,214300.00000,212100.00000,213300.00000
SPFB.RTS,D,20071025,000000,214150.00000,218300.00000,213800.00000,216050.00000
SPFB.RTS,D,20071026,000000,218000.00000,221600.00000,217800.00000,221185.00000
SPFB.RTS,D,20071029,000000,223555.00000,225490.00000,222550.00000,223495.00000
SPFB.RTS,D,20071030,000000,223010.00000,223190.00000,220255.00000,222340.00000
SPFB.RTS,D,20071031,000000,221555.00000,224800.00000,221110.00000,224345.00000
SPFB.RTS,D,20071101,000000,226000.00000,228295.00000,220810.00000,221815.00000
SPFB.RTS,D,20071102,000000,220485.00000,225640.00000,219355.00000,225300.00000
SPFB.RTS,D,20071106,000000,225300.00000,229140.00000,225185.00000,229000.00000
SPFB.RTS,D,20071107,000000,230315.00000,230350.00000,227000.00000,229995.00000
SPFB.RTS,D,20071108,000000,227500.00000,231360.00000,226155.00000,230305.00000
SPFB.RTS,D,20071109,000000,230490.00000,232035.00000,226510.00000,226700.00000
SPFB.RTS,D,20071112,000000,225390.00000,228150.00000,224000.00000,226200.00000
SPFB.RTS,D,20071113,000000,225810.00000,226500.00000,222760.00000,223845.00000
SPFB.RTS,D,20071114,000000,226000.00000,226400.00000,223625.00000,225835.00000
SPFB.RTS,D,20071115,000000,225035.00000,225500.00000,222650.00000,223200.00000
SPFB.RTS,D,20071116,000000,221600.00000,222590.00000,219205.00000,219950.00000
SPFB.RTS,D,20071119,000000,220120.00000,221835.00000,217200.00000,217300.00000
SPFB.RTS,D,20071120,000000,216505.00000,220210.00000,215320.00000,220210.00000
SPFB.RTS,D,20071121,000000,219700.00000,219700.00000,215200.00000,216295.00000
SPFB.RTS,D,20071122,000000,215400.00000,217290.00000,213415.00000,215490.00000
SPFB.RTS,D,20071123,000000,216500.00000,217650.00000,214540.00000,215800.00000
SPFB.RTS,D,20071126,000000,217500.00000,220500.00000,216905.00000,220465.00000
SPFB.RTS,D,20071127,000000,219215.00000,219825.00000,216350.00000,216670.00000
SPFB.RTS,D,20071128,000000,217025.00000,219095.00000,213900.00000,218950.00000
SPFB.RTS,D,20071129,000000,221000.00000,221385.00000,218515.00000,219100.00000
SPFB.RTS,D,20071130,000000,220020.00000,223840.00000,219635.00000,223155.00000
SPFB.RTS,D,20071203,000000,223005.00000,223730.00000,221205.00000,221890.00000
SPFB.RTS,D,20071204,000000,221840.00000,223100.00000,220675.00000,221300.00000
SPFB.RTS,D,20071205,000000,221310.00000,228275.00000,221300.00000,228200.00000
