<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.Si,D,20070420,000000,25689.00000,25706.00000,25688.00000,25705.00000
SPFB.Si,D,20070423,000000,25740.00000,25745.00000,25730.00000,25730.00000
SPFB.Si,D,20070424,000000,25714.00000,25725.00000,25714.00000,25715.00000
SPFB.Si,D,20070425,000000,25671.00000,25680.00000,25643.00000,25680.00000
SPFB.Si,D,20070426,000000,25661.00000,25718.00000,25661.00000,25718.00000
SPFB.Si,D,20070427,000000,25704.00000,25706.00000,25630.00000,25633.00000
SPFB.Si,D,20070428,000000,25650.00000,25650.00000,25614.00000,25614.00000
SPFB.Si,D,20070502,000000,25715.00000,25730.00000,25715.00000,25720.00000
SPFB.Si,D,20070503,000000,25690.00000,25729.00000,25690.00000,25729.00000
SPFB.Si,D,20070504,000000,25759.00000,25770.00000,25713.00000,25713.00000
SPFB.Si,D,20070507,000000,25688.00000,25703.00000,25681.00000,25690.00000
SPFB.Si,D,20070508,000000,25702.00000,25751.00000,25702.00000,25748.00000
SPFB.Si,D,20070510,000000,25761.00000,25813.00000,25733.00000,25796.00000
SPFB.Si,D,20070511,000000,25836.00000,25838.00000,25805.00000,25805.00000
SPFB.Si,D,20070514,000000,25786.00000,25786.00000,25755.00000,25764.00000
SPFB.Si,D,20070515,000000,25760.00000,25775.00000,25743.00000,25743.00000
SPFB.Si,D,20070516,000000,25716.00000,25734.00000,25702.00000,25727.00000
SPFB.Si,D,20070517,000000,25772.00000,25815.00000,25765.00000,25785.00000
SPFB.Si,D,20070518,000000,25830.00000,25833.00000,25794.00000,25826.00000
SPFB.Si,D,20070521,000000,25800.00000,25877.00000,25797.00000,25875.00000
SPFB.Si,D,20070522,000000,25846.00000,25885.00000,25846.00000,25857.00000
SPFB.Si,D,20070523,000000,25858.00000,25891.00000,25821.00000,25837.00000
SPFB.Si,D,20070524,000000,25874.00000,25885.00000,25855.00000,25877.00000
SPFB.Si,D,20070525,000000,25880.00000,25897.00000,25871.00000,25871.00000
SPFB.Si,D,20070528,000000,25870.00000,25872.00000,25860.00000,25860.00000
SPFB.Si,D,20070529,000000,25877.00000,25877.00000,25817.00000,25826.00000
SPFB.Si,D,20070530,000000,25888.00000,25914.00000,25874.00000,25886.00000
SPFB.Si,D,20070531,000000,25878.00000,25890.00000,25850.00000,25890.00000
SPFB.Si,D,20070601,000000,25863.00000,25893.00000,25858.00000,25892.00000
SPFB.Si,D,20070604,000000,25866.00000,25887.00000,25847.00000,25850.00000
SPFB.Si,D,20070605,000000,25835.00000,25835.00000,25800.00000,25810.00000
SPFB.Si,D,20070606,000000,25796.00000,25823.00000,25796.00000,25821.00000
SPFB.Si,D,20070607,000000,25830.00000,25869.00000,25830.00000,25860.00000
SPFB.Si,D,20070608,000000,25904.00000,26002.00000,25904.00000,25988.00000
SPFB.Si,D,20070609,000000,25973.00000,25985.00000,25966.00000,25981.00000
SPFB.Si,D,20070613,000000,25927.00000,25991.00000,25927.00000,25967.00000
SPFB.Si,D,20070614,000000,25966.00000,25974.00000,25950.00000,25974.00000
SPFB.Si,D,20070615,000000,25946.00000,25950.00000,25906.00000,25930.00000
SPFB.Si,D,20070618,000000,25888.00000,25888.00000,25859.00000,25867.00000
SPFB.Si,D,20070619,000000,25850.00000,25891.00000,25849.00000,25886.00000
SPFB.Si,D,20070620,000000,25865.00000,25865.00000,25851.00000,25858.00000
SPFB.Si,D,20070621,000000,25865.00000,25894.00000,25865.00000,25875.00000
SPFB.Si,D,20070622,000000,25877.00000,25877.00000,25823.00000,25823.00000
SPFB.Si,D,20070625,000000,25827.00000,25827.00000,25802.00000,25802.00000
SPFB.Si,D,20070626,000000,25717.00000,25720.00000,25602.00000,25702.00000
SPFB.Si,D,20070627,000000,25760.00000,25777.00000,25748.00000,25777.00000
SPFB.Si,D,20070628,000000,25736.00000,25747.00000,25712.00000,25729.00000
SPFB.Si,D,20070629,000000,25730.00000,25730.00000,25670.00000,25685.00000
SPFB.Si,D,20070702,000000,25632.00000,25635.00000,25596.00000,25596.00000
SPFB.Si,D,20070703,000000,25569.00000,25612.00000,25569.00000,25578.00000
SPFB.Si,D,20070704,000000,25587.00000,25665.00000,25577.00000,25665.00000
SPFB.Si,D,20070705,000000,25583.00000,25613.00000,25560.00000,25613.00000
SPFB.Si,D,20070706,000000,25635.00000,25709.00000,25619.00000,25682.00000
SPFB.Si,D,20070709,000000,25606.00000,25624.00000,25578.00000,25623.00000
SPFB.Si,D,20070710,000000,25608.00000,25608.00000,25515.00000,25515.00000
SPFB.Si,D,20070711,000000,25480.00000,25492.00000,25444.00000,25469.00000
SPFB.Si,D,20070712,000000,25465.00000,25468.00000,25420.00000,25443.00000
SPFB.Si,D,20070713,000000,25434.00000,25434.00000,25354.00000,25373.00000
SPFB.Si,D,20070716,000000,25401.00000,25429.00000,25379.00000,25399.00000
SPFB.Si,D,20070717,000000,25398.00000,25425.00000,25397.00000,25406.00000
SPFB.Si,D,20070718,000000,25380.00000,25414.00000,25380.00000,25392.00000
SPFB.Si,D,20070719,000000,25341.00000,25363.00000,25337.00000,25346.00000
SPFB.Si,D,20070720,000000,25353.00000,25380.00000,25344.00000,25349.00000
SPFB.Si,D,20070723,000000,25319.00000,25361.00000,25319.00000,25342.00000
SPFB.Si,D,20070724,000000,25341.00000,25351.00000,25312.00000,25312.00000
SPFB.Si,D,20070725,000000,25369.00000,25425.00000,25325.00000,25425.00000
SPFB.Si,D,20070726,000000,25440.00000,25458.00000,25427.00000,25442.00000
SPFB.Si,D,20070727,000000,25451.00000,25542.00000,25450.00000,25515.00000
SPFB.Si,D,20070730,000000,25523.00000,25543.00000,25523.00000,25538.00000
SPFB.Si,D,20070731,000000,25500.00000,25510.00000,25485.00000,25498.00000
SPFB.Si,D,20070801,000000,25552.00000,25574.00000,25508.00000,25508.00000
SPFB.Si,D,20070802,000000,25539.00000,25571.00000,25539.00000,25557.00000
SPFB.Si,D,20070803,000000,25516.00000,25533.00000,25477.00000,25490.00000
SPFB.Si,D,20070806,000000,25412.00000,25441.00000,25411.00000,25430.00000
SPFB.Si,D,20070807,000000,25434.00000,25435.00000,25376.00000,25404.00000
SPFB.Si,D,20070808,000000,25437.00000,25437.00000,25378.00000,25378.00000
SPFB.Si,D,20070809,000000,25307.00000,25443.00000,25300.00000,25417.00000
SPFB.Si,D,20070810,000000,25460.00000,25476.00000,25429.00000,25440.00000
SPFB.Si,D,20070813,000000,25432.00000,25480.00000,25432.00000,25475.00000
SPFB.Si,D,20070814,000000,25478.00000,25541.00000,25478.00000,25512.00000
SPFB.Si,D,20070815,000000,25588.00000,25677.00000,25574.00000,25672.00000
SPFB.Si,D,20070816,000000,25688.00000,25815.00000,25688.00000,25795.00000
SPFB.Si,D,20070817,000000,25782.00000,25825.00000,25735.00000,25755.00000
SPFB.Si,D,20070820,000000,25696.00000,25777.00000,25696.00000,25770.00000
SPFB.Si,D,20070821,000000,25805.00000,25931.00000,25803.00000,25862.00000
SPFB.Si,D,20070822,000000,25832.00000,25846.00000,25809.00000,25826.00000
SPFB.Si,D,20070823,000000,25711.00000,25777.00000,25706.00000,25760.00000
SPFB.Si,D,20070824,000000,25777.00000,25805.00000,25735.00000,25735.00000
SPFB.Si,D,20070827,000000,25668.00000,25695.00000,25639.00000,25680.00000
SPFB.Si,D,20070828,000000,25688.00000,25720.00000,25648.00000,25718.00000
SPFB.Si,D,20070829,000000,25729.00000,25788.00000,25670.00000,25670.00000
SPFB.Si,D,20070830,000000,25668.00000,25740.00000,25588.00000,25665.00000
SPFB.Si,D,20070831,000000,25647.00000,25647.00000,25573.00000,25618.00000
SPFB.Si,D,20070903,000000,25606.00000,25607.00000,25580.00000,25590.00000
SPFB.Si,D,20070904,000000,25593.00000,25739.00000,25593.00000,25702.00000
SPFB.Si,D,20070905,000000,25702.00000,25714.00000,25682.00000,25682.00000
SPFB.Si,D,20070906,000000,25643.00000,25690.00000,25636.00000,25657.00000
SPFB.Si,D,20070907,000000,25660.00000,25665.00000,25550.00000,25560.00000
SPFB.Si,D,20070910,000000,25635.00000,25635.00000,25559.00000,25559.00000
SPFB.Si,D,20070911,000000,25597.00000,25598.00000,25511.00000,25540.00000
SPFB.Si,D,20070912,000000,25473.00000,25485.00000,25440.00000,25460.00000
SPFB.Si,D,20070913,000000,25435.00000,25439.00000,25400.00000,25436.00000
SPFB.Si,D,20070914,000000,25426.00000,25426.00000,25383.00000,25409.00000
SPFB.Si,D,20070917,000000,25381.00000,25395.00000,25380.00000,25385.00000
SPFB.Si,D,20070918,000000,25407.00000,25431.00000,25399.00000,25418.00000
SPFB.Si,D,20070919,000000,25220.00000,25284.00000,25218.00000,25230.00000
SPFB.Si,D,20070920,000000,25210.00000,25210.00000,25167.00000,25173.00000
SPFB.Si,D,20070921,000000,25130.00000,25198.00000,25105.00000,25158.00000
SPFB.Si,D,20070924,000000,25198.00000,25198.00000,25063.00000,25091.00000
SPFB.Si,D,20070925,000000,25117.00000,25135.00000,25070.00000,25070.00000
SPFB.Si,D,20070926,000000,25080.00000,25112.00000,25067.00000,25102.00000
SPFB.Si,D,20070927,000000,25105.00000,25105.00000,25028.00000,25035.00000
SPFB.Si,D,20070928,000000,25088.00000,25088.00000,25033.00000,25065.00000
